name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
singapore,2024-01-26,31.6,25.1,28,37.1,25.1,30.8,24.1,80.2,47.429,100,8.33,rain,0,0,40,25.5,23.4,1014,84.7,9.7,279.5,24.3,10,30,2024-01-26T07:15:15,2024-01-26T19:18:46,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-01-27,31.6,26.4,28.5,36.9,26.4,32.3,23.8,76,0,0,0,rain,0,0,42.8,25.6,13.6,1013.3,86,10.1,281.1,24.1,9,30,2024-01-27T07:15:27,2024-01-27T19:19:01,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL,WMKJ"
singapore,2024-01-28,31.9,25.9,28,37.4,25.9,31.1,23.9,78.9,0.079,100,4.17,rain,0,0,37.4,23.4,12.2,1013.4,88.4,9.9,292,25.2,10,10,2024-01-28T07:15:38,2024-01-28T19:19:14,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-01-29,31.6,26,28.2,35.7,26,30.8,23.2,75.1,0.347,100,4.17,rain,0,0,38.2,24.7,11,1013,84.2,10,264.2,22.7,9,10,2024-01-29T07:15:48,2024-01-29T19:19:27,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-01-30,31.5,25.1,27.9,35.6,25.1,30.2,23,75.2,0,0,0,rain,0,0,33.8,20.4,4.8,1013,88.9,10,230.8,19.8,9,10,2024-01-30T07:15:58,2024-01-30T19:19:39,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-01-31,32.4,25.6,28.1,36.8,25.6,30.4,23.1,74.9,0,0,0,rain,0,0,32.4,20.1,6.7,1013,87.9,10,245.1,21.1,8,30,2024-01-31T07:16:06,2024-01-31T19:19:50,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-01,32.4,26.6,28.5,36.9,26.6,31,23.3,74.3,0.264,100,4.17,rain,0,0,32.4,22.8,18.1,1013.1,88.9,10.1,209.3,18.1,8,30,2024-02-01T07:16:14,2024-02-01T19:20:00,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-02,32,26,28.6,38,26,31.7,23.8,76,0,0,0,rain,0,0,30.6,19.5,14.2,1012.3,78.7,10,288,25,9,30,2024-02-02T07:16:21,2024-02-02T19:20:10,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-02-03,33.5,26,28.8,37.7,26,31.5,23.4,73.9,0,0,0,rain,0,0,33.8,22.4,13.1,1012.6,86.1,10.1,251.8,21.9,9,30,2024-02-03T07:16:27,2024-02-03T19:20:19,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-02-04,33.2,25.4,28.8,37.1,25.4,31,22.5,70.1,0,0,0,rain,0,0,26.6,15.7,4.5,1013.1,84.1,10.1,261.7,22.7,10,30,2024-02-04T07:16:32,2024-02-04T19:20:27,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-05,33.6,25.6,28.8,37.9,25.6,31.4,22.9,71.7,0,0,0,rain,0,0,37.1,23,11.8,1013,88.8,10.1,245.6,21.1,10,30,2024-02-05T07:16:36,2024-02-05T19:20:34,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-02-06,33.5,25,28.4,39.1,25,31.1,23.7,76.8,0,0,0,rain,0,0,25.6,16,4.8,1012.8,83.3,9.8,250.4,21.5,9,30,2024-02-06T07:16:40,2024-02-06T19:20:40,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-07,32.6,25.9,28.6,38.1,25.9,31.8,23.8,76.6,0.264,100,4.17,rain,0,0,26.3,20,11.5,1012.1,89,10.1,259.8,22.4,9,60,2024-02-07T07:16:42,2024-02-07T19:20:46,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-08,33.4,26,28.6,39.4,26,32,24.1,77.3,0.026,100,4.17,rain,0,0,25.9,19.4,21.7,1011.2,83.6,10,225.2,19.5,9,60,2024-02-08T07:16:44,2024-02-08T19:20:51,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WIDD,WSSL,WMKJ"
singapore,2024-02-09,31.7,26,27.9,37.1,26,31.3,24.2,80.8,0,0,0,rain,0,0,35.6,13.8,10.5,1012,86,9.5,251.2,21.7,9,30,2024-02-09T07:16:45,2024-02-09T19:20:55,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-10,32.5,24.9,28,36,24.9,29.9,22.7,74.6,0.053,100,4.17,rain,0,0,38.2,22.6,13.3,1013.8,86.4,9.8,220.7,19.1,8,30,2024-02-10T07:16:45,2024-02-10T19:20:58,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
